steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
100000	100	787.972177028656	-214.55976923827453	-213.65387067947427	49.27283849814656	-99.25306831007346	-327.3753173934974	-33.954117	6.1474705	37.645741300582884	-0.031490525612607595	15360	0.39481507905142343
200000	200	1585.550358057022	461.6898546720008	566.3878725978232	291.3151201958106	894.976159829133	-94.39085837196247	86.45945	4.262856	156.5968390274048	-0.03897588952444494	31040	0.8974707742925365
300000	300	2384.5597519874573	843.753295702084	1045.7509474313374	398.43319332389154	1302.9034165698429	-50.401561758230976	180.61919	3.2595801	616.3245506286621	-0.04169464463368058	46720	0.9298924439017118
400000	400	3181.936056613922	1217.125126846084	1266.6828275828393	262.21366069729675	1469.836919996929	20.826093743172542	207.95169	3.0440376	637.2908627319335	-0.03944552479311824	62400	-0.020808775945628577
500000	500	3984.4019696712494	1358.9525078614458	1443.3110309188482	290.93755420959394	1685.3157451523016	234.8269110695525	231.99081	2.420274	221.1389532470703	-0.042785426303744316	78080	0.9518014247130987
600000	600	4781.968203783035	1456.9774886728344	1584.4506333309846	391.20354957086886	1876.0806358645482	36.24459329977624	257.03177	1.9868579	1169.7839031982421	-0.04432373156771064	93440	0.9258303940053902
700000	700	5579.772837638855	1668.0950566973154	1767.2646782785503	392.3854857317048	1988.457220024798	169.70533498880712	290.00113	1.2869529	1318.5330783081054	-0.03971180010586977	109120	0.12247984081642671
800000	800	6373.664121627808	1827.6761871005117	1872.256305540861	256.87216950806544	2124.3744176786977	179.8056895768848	316.99768	0.83518314	1085.5071278381347	-0.041862987456843255	124800	0.8669039864480514
900000	900	7172.366945981979	2024.063378104958	2041.8432344920889	147.25192582432354	2308.7011765293473	1368.761298096425	338.1293	0.62469923	1729.3695622253417	-0.040782332215458156	140480	0.06397677503452248
1000000	1000	7967.447155714035	1982.9682015857193	2066.078014842321	371.057989859994	2295.6276977293423	72.11158969995508	336.2212	0.25581717	1760.0562796020508	-0.04427697254344821	156160	-0.029256571506532936
1100000	1100	8768.728231430054	2091.6489151500737	2168.369526231251	348.2536147157095	2437.064358525191	10.201863789626945	366.72995	-0.22730954	1735.442398223877	-0.04084915464743972	171840	-0.09127154796889458
1200000	1200	9565.249638080597	2168.684557000076	2293.189119821658	470.33242634322556	2540.2064283144464	38.698198038117745	381.2763	-0.7130575	2097.110632019043	-0.04104517286643386	187200	-8.294412317599864e-05
1300000	1300	10370.429502725601	2248.223722851895	2319.6031010888523	358.92956109342583	2639.265062132796	485.5880596562283	392.41125	-1.1260747	2240.7837524414062	-0.04682784903794527	202880	0.09148844919909938
1400000	1400	11173.70127940178	2283.2675435893325	2348.9386139073813	340.49269520283417	2697.4070906821426	317.380316728038	24.849442	-1.3968247	2141.786160583496	-0.04229167176410556	218560	0.04361968560337193
