steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
100000	781	902.3215169906616	1181.5117816762463	1066.4947573283705	538.7592198708892	2570.324923252222	262.24154750320247	287.48743	3.6228075	1086.9718243408204	-0.009645200092345476	15360	0.8311451540724311
200000	1001	1828.1417982578278	2154.079090160035	2533.8084192918777	787.200989924024	2966.27589095568	224.98213635736894	462.88876	3.297558	864.2964520263672	-0.011075330954045058	31040	0.6738660173916333
300000	1159	2660.64750123024	2476.369090233717	3006.814698475474	897.0056004282286	3294.991471461911	203.42383610065423	543.83624	3.1353316	2323.693996887207	-0.01619717514142394	46720	0.6404097913582213
400000	1289	3498.302074432373	2700.8626752106247	3081.886624650475	658.6622033541893	3290.69918333782	742.5669596571003	527.55865	2.953267	2439.2808265686035	-0.023128764275461434	62400	0.6836068620643121
500000	1419	4274.159154653549	2205.332128397174	2839.318142922436	1012.2506932238477	3184.183968791963	170.42950168505158	495.9089	2.9218314	1545.3157540893556	-0.01345563169568777	78080	0.7372713665296424
600000	1540	5067.104696989059	2445.444437258806	2732.760284815913	783.8476310403352	3318.308227589327	770.7358157127869	497.46353	3.2110708	453.1239088439941	-0.02349654184654355	93440	0.883014512128468
700000	1662	5965.220903635025	2761.6127439736315	3058.6215507229836	699.1019165892503	3286.5582646427197	479.320643016622	529.5573	3.2021937	4010.218346862793	-0.014625750128179788	109120	0.5741842204514264
800000	1784	6761.92199754715	2354.763860038639	2902.4786043053236	852.2018061309273	3172.5255348662695	280.75406193529903	514.5689	3.4602966	3388.198109741211	-0.019278855212032795	124800	0.5817919123086344
900000	1906	7558.5102825164795	2313.36486853588	2760.9036731362944	904.1206665936487	3248.0815725750767	284.9085309158617	520.6154	3.6342769	2296.407073364258	-0.022126506073400377	140480	0.6415409248315738
1000000	2039	8436.002909183502	2585.861360385669	3030.154038665997	852.9347985397072	3196.4915407962962	256.2580245588554	469.6838	3.7541919	3447.455455932617	-0.028501027375459672	156160	0.3316797753843167
1100000	2165	9358.744424819946	2854.1395432502695	3124.1944383923374	611.0534158573479	3280.123954158511	480.256576979697	527.5651	3.7005167	4018.9863659667967	-0.026668377863243223	171840	-0.0445244860327787
1200000	2284	10243.684021949768	2635.2185313705554	3101.1133649347616	892.4232624051921	3296.257994660355	58.96132408685506	533.7605	3.9120252	2251.1894917297363	-0.02760537851601839	187200	0.798680253871304
1300000	2408	11085.097926616669	2474.4410323625975	2748.137308945893	837.9224816351234	3430.0652914720795	208.86955989826782	466.02075	4.289166	991.6548240661621	-0.027185005079954864	202880	0.7753675072382074
1400000	2534	12013.881682157516	2976.923284188443	3093.327269407505	414.7574312114281	3274.747717552178	774.2091957480598	526.7691	4.1964645	2194.9016412353517	-0.029929919820278882	218560	0.6971411920644288
1500000	2651	12882.282028198242	2521.980339591657	3094.7422340724024	864.6745679945607	3251.797721549409	175.0756311610693	520.6269	4.2239604	2306.1367761230467	-0.028431664276868104	234240	0.3497629559094634
1600000	2772	13973.122845888138	2367.2793156628063	2654.8462728664017	862.1229325468868	3265.171202139688	163.82086639461264	482.50406	4.441937	4863.438489379882	-0.03546051293611527	249920	0.4862292013265087
1700000	2889	15044.464899778366	2611.4823028748283	3125.717681537768	923.7483112967305	3310.270824828749	156.786831810698	529.8605	4.631098	2717.226268310547	-0.03013924214988947	265600	0.0944440931461249
1800000	3025	16085.276977300644	2788.8707494256623	3170.182705985	796.9072746278324	3329.754504326513	383.113898394889	526.4644	4.6053243	2318.775163574219	-0.04247720344923436	280960	0.7816718713062702
1900000	3145	17175.252191781998	3150.88639546555	3204.5106797454223	237.26466625737135	3365.441871540778	1703.7248130440555	541.57263	4.699273	2920.560979003906	-0.038024843148887155	296640	-0.010597565762503702
2000000	3258	18074.46345973015	3177.331705358516	3253.7039061601454	393.0961623936074	3312.7003568574596	402.46907838242896	568.74207	4.756573	2841.765037536621	-0.034281364418566225	312320	0.03177357136230452
