steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
100000	853	777.6015696525574	390.0972071821041	390.38595290640853	138.31239404426995	739.7676583580486	52.91536465722799	160.11098	7.4913163	52.92289869308472	-0.027370186578482388	15360	0.9659051064785376
200000	1238	1619.7688286304474	679.0340622411276	673.3356659309923	229.05738217714722	1550.2831243203095	66.17391442689181	234.34511	6.5976567	310.3427676391602	-0.03480135255493224	31040	0.9183067916669403
300000	1414	2530.9520065784454	1371.4049841352528	1279.2849235399015	571.4871904019622	2561.94745741297	544.5841511961364	361.41388	6.209548	699.5345510864258	-0.030833741901442408	46720	0.8362161596206419
400000	1550	3445.240488767624	1703.9922928934836	1676.3014580389508	666.2895786418044	2889.5474729754214	161.63337139813942	361.263	5.926437	2108.520499267578	-0.03590768842026591	62400	0.48018731522775127
500000	1675	4564.296320199966	2224.7727028380286	2317.1336955695524	333.5512996094454	2521.4626962790094	667.6140319330084	388.75055	5.5797	1451.9601553344726	-0.041116034109145404	78080	0.6907614060669742
600000	1790	5550.918436527252	2193.87256106948	2391.048890452922	555.3691863215213	2741.0759489701804	39.76663496748807	411.20938	5.5486403	3067.782311553955	-0.03047771705314517	93440	-0.035458783814955375
700000	1914	6354.396892547607	1765.4273333361202	1538.064607730152	736.5722216836677	3355.430800237815	498.83881127117274	424.91068	5.463839	470.0043746948242	-0.054664196139201524	109120	0.7714352685568502
800000	2030	7243.839678764343	2386.1452748066986	2599.154958226046	576.2581643006465	2955.522540980486	371.3515725149193	432.03543	4.678028	2956.6602056884767	-0.04423316829837859	124800	-0.3116523264118314
900000	2153	8075.743540287018	2072.2424421209503	2353.038906187324	731.9762938945033	2977.5705694711028	618.8539259598525	408.08545	4.424312	1766.6796783447267	-0.047707584099844096	140480	0.7161655274452927
1000000	2285	8937.690753221512	2672.20879753932	2959.6519114839302	605.2689879704177	3328.431495059063	913.4931789526937	486.95895	3.8807094	456.8979342651367	-0.05282394776120782	156160	0.9103667647236429
1100000	2409	9824.072785139084	2672.0500450553504	3068.942217415097	767.414608835524	3517.244304366838	615.8569357576897	511.93774	3.1355813	3886.5837371826174	-0.03946055762469768	171840	0.176545782815817
1200000	2517	10696.648963451385	2992.152131095876	3264.8556050919697	607.9278857296847	3524.485548151604	513.317355885193	515.59546	3.0533907	2119.0243853759766	-0.049484256552532316	187200	0.6375591451508538
1300000	2624	11624.68842291832	3120.7332704089285	3155.0939715156014	200.28000330018003	3299.2037111888776	1568.7270664320765	549.97754	2.8021228	2566.77962097168	-0.040253035724163055	202880	0.21990288834183758
1400000	2726	12611.686587572098	3069.5584517566845	3152.8051794059847	334.1990385219457	3369.222097945138	1163.5326126544337	529.4782	2.7704206	3513.084991149902	-0.03570046423003077	218560	0.0528043207021095
1500000	2832	13550.886162519455	2859.9982642636064	3261.2758747846483	814.2800822227116	3538.9449101000623	546.8313639038162	532.3038	2.4678469	2953.276365509033	-0.047109043877571824	234240	-0.0021952557947277906
1600000	2956	14377.110876560211	2270.559417196058	2059.7718948085912	1089.3367658699187	3803.942447200817	729.6720888553695	512.42896	2.1632571	1323.2630377197265	-0.060113949039950966	249920	0.8677865211170991
1700000	3069	15300.774727106094	3144.0624987880437	3475.7095817140466	779.6225279890115	3733.460177983474	492.338214158213	587.89087	1.8421673	4230.882527160645	-0.049515097979456184	265600	0.03231473187903866
1800000	3182	16184.201074123383	2877.399739269305	3275.507743548416	846.3019882417584	3837.6597026873624	798.8909777596275	552.6596	1.6223772	2052.7259936523437	-0.038310725186020134	280960	0.7580152586521127
1900000	3297	17262.947447776794	3005.9073912783538	3442.7935309153886	993.9933684903535	3672.4804898548355	282.5948722743492	560.765	1.5028706	4835.836932373047	-0.04015932520851493	296640	0.005343245401545849
2000000	3407	18332.854645967484	2796.6999199073107	3473.8845906413794	1108.718444098651	3767.3212841453947	293.6084807734676	577.4672	1.0253667	4579.475593261719	-0.051398557014763355	312320	-0.1852638110640772
